:START_ID|:END_ID|:TYPE|order:int
#1|#1_0|IDENTIFICATION|0
#1|#1_1|NAME|1
#1|#1_2|DESCRIPTION|2
#1|#1_3|ROLES|3
#1|#1_4|ADDRESSES|4
#5|#1|APPLICATIONDEVELOPER|0
#5|#5_1|VERSION|1
#5|#5_2|APPLICATIONFULLNAME|2
#5|#5_3|APPLICATIONIDENTIFIER|3
#6|#6_0|COORDINATES|0
#10|#10_0|COORDINATES|0
#12|#12_0|DIRECTIONRATIOS|0
#14|#14_0|DIRECTIONRATIOS|0
#16|#16_0|DIRECTIONRATIOS|0
#18|#18_0|DIRECTIONRATIOS|0
#20|#20_0|DIRECTIONRATIOS|0
#22|#22_0|DIRECTIONRATIOS|0
#24|#24_0|DIRECTIONRATIOS|0
#26|#26_0|DIRECTIONRATIOS|0
#28|#28_0|DIRECTIONRATIOS|0
#30|#30_0|DIRECTIONRATIOS|0
#32|#6|LOCATION|0
#32|#32_1|AXIS|1
#32|#32_2|REFDIRECTION|2
#33|#158|PLACEMENTRELTO|0
#33|#32|RELATIVEPLACEMENT|1
#36|#36_0|IDENTIFICATION|0
#36|#36_1|FAMILYNAME|1
#36|#36_2|GIVENNAME|2
#36|#36_3|MIDDLENAMES|3
#36|#36_4|PREFIXTITLES|4
#36|#36_5|SUFFIXTITLES|5
#36|#36_6|ROLES|6
#36|#36_7|ADDRESSES|7
#38|#38_0|IDENTIFICATION|0
#38|#38_1|NAME|1
#38|#38_2|DESCRIPTION|2
#38|#38_3|ROLES|3
#38|#38_4|ADDRESSES|4
#39|#36|THEPERSON|0
#39|#38|THEORGANIZATION|1
#39|#39_2|ROLES|2
#42|#39|OWNINGUSER|0
#42|#5|OWNINGAPPLICATION|1
#42|#42_2|STATE|2
#42|#42_3|CHANGEACTION|3
#42|#42_4|LASTMODIFIEDDATE|4
#42|#42_5|LASTMODIFYINGUSER|5
#42|#42_6|LASTMODIFYINGAPPLICATION|6
#42|#42_7|CREATIONDATE|7
#43|#43_0|DIMENSIONS|0
#43|#43_1|UNITTYPE|1
#43|#43_2|PREFIX|2
#43|#43_3|NAME|3
#44|#44_0|DIMENSIONS|0
#44|#44_1|UNITTYPE|1
#44|#44_2|PREFIX|2
#44|#44_3|NAME|3
