IfcId:ID|:LABEL
#1|IFCORGANIZATION
#5|IFCAPPLICATION
#6|IFCCARTESIANPOINT
#10|IFCCARTESIANPOINT
#12|IFCDIRECTION
#14|IFCDIRECTION
#16|IFCDIRECTION
#18|IFCDIRECTION
#20|IFCDIRECTION
#22|IFCDIRECTION
#24|IFCDIRECTION
#26|IFCDIRECTION
#28|IFCDIRECTION
#30|IFCDIRECTION
#32|IFCAXIS2PLACEMENT3D
#33|IFCLOCALPLACEMENT
#36|IFCPERSON
#38|IFCORGANIZATION
#39|IFCPERSONANDORGANIZATION
#42|IFCOWNERHISTORY
#43|IFCSIUNIT
#44|IFCSIUNIT
#45|IFCSIUNIT
#46|IFCSIUNIT
#47|IFCSIUNIT
#48|IFCDIMENSIONALEXPONENTS
#49|IFCMEASUREWITHUNIT
#50|IFCCONVERSIONBASEDUNIT
#52|IFCSIUNIT
#53|IFCDERIVEDUNITELEMENT
#54|IFCDERIVEDUNITELEMENT
#55|IFCDERIVEDUNIT
#57|IFCDERIVEDUNITELEMENT
#58|IFCDERIVEDUNIT
#60|IFCSIUNIT
#61|IFCSIUNIT
#62|IFCSIUNIT
#63|IFCSIUNIT
#64|IFCDERIVEDUNITELEMENT
#65|IFCDERIVEDUNITELEMENT
#66|IFCDERIVEDUNITELEMENT
#67|IFCDERIVEDUNIT
#69|IFCSIUNIT
#70|IFCDERIVEDUNITELEMENT
#71|IFCDERIVEDUNITELEMENT
#72|IFCDERIVEDUNIT
#74|IFCSIUNIT
#75|IFCSIUNIT
#76|IFCSIUNIT
#77|IFCSIUNIT
#78|IFCSIUNIT
#79|IFCSIUNIT
#80|IFCSIUNIT
#81|IFCDERIVEDUNITELEMENT
#82|IFCDERIVEDUNITELEMENT
#83|IFCDERIVEDUNITELEMENT
#84|IFCDERIVEDUNITELEMENT
#85|IFCDERIVEDUNIT
#87|IFCDERIVEDUNITELEMENT
#88|IFCDERIVEDUNITELEMENT
#89|IFCDERIVEDUNIT
#91|IFCSIUNIT
#92|IFCDERIVEDUNITELEMENT
#93|IFCDERIVEDUNITELEMENT
#94|IFCDERIVEDUNITELEMENT
#95|IFCDERIVEDUNIT
#97|IFCDERIVEDUNITELEMENT
#98|IFCDERIVEDUNITELEMENT
#99|IFCDERIVEDUNITELEMENT
#100|IFCDERIVEDUNITELEMENT
#101|IFCDERIVEDUNIT
#103|IFCDERIVEDUNITELEMENT
#104|IFCDERIVEDUNITELEMENT
#105|IFCDERIVEDUNITELEMENT
#106|IFCDERIVEDUNITELEMENT
#107|IFCDERIVEDUNIT
#109|IFCUNITASSIGNMENT
#111|IFCAXIS2PLACEMENT3D
#112|IFCDIRECTION
#114|IFCGEOMETRICREPRESENTATIONCONTEXT
#118|IFCGEOMETRICREPRESENTATIONSUBCONTEXT
#120|IFCGEOMETRICREPRESENTATIONSUBCONTEXT
#121|IFCGEOMETRICREPRESENTATIONSUBCONTEXT
#122|IFCGEOMETRICREPRESENTATIONSUBCONTEXT
#123|IFCPROJECTEDCRS
#125|IFCMAPCONVERSION
#138|IFCPOSTALADDRESS
#152|IFCAXIS2PLACEMENT3D
#153|IFCLOCALPLACEMENT
#157|IFCAXIS2PLACEMENT3D
#158|IFCLOCALPLACEMENT
#163|IFCPROPERTYSINGLEVALUE
#183|IFCPROPERTYSINGLEVALUE
#190|IFCAXIS2PLACEMENT3D
#1185|IFCPRESENTATIONLAYERASSIGNMENT
#192|IFCCARTESIANPOINT
#194|IFCVERTEXPOINT
#195|IFCCARTESIANPOINT
#197|IFCVERTEXPOINT
#198|IFCVECTOR
#199|IFCLINE
#200|IFCTRIMMEDCURVE
#203|IFCEDGECURVE
#204|IFCCARTESIANPOINT
#206|IFCVERTEXPOINT
#207|IFCDIRECTION
#209|IFCVECTOR
#210|IFCLINE
#211|IFCTRIMMEDCURVE
#214|IFCEDGECURVE
#215|IFCCARTESIANPOINT
#217|IFCVERTEXPOINT
#218|IFCVECTOR
#219|IFCLINE
#220|IFCTRIMMEDCURVE
#223|IFCEDGECURVE
#224|IFCDIRECTION
#226|IFCVECTOR
#227|IFCLINE
#228|IFCTRIMMEDCURVE
#231|IFCEDGECURVE
#232|IFCCARTESIANPOINT
#234|IFCVERTEXPOINT
#235|IFCDIRECTION
#237|IFCVECTOR
#238|IFCLINE
#239|IFCTRIMMEDCURVE
#242|IFCEDGECURVE
#243|IFCCARTESIANPOINT
#245|IFCVERTEXPOINT
#246|IFCDIRECTION
#248|IFCVECTOR
#249|IFCLINE
#250|IFCTRIMMEDCURVE
#253|IFCEDGECURVE
#254|IFCDIRECTION
#256|IFCVECTOR
#257|IFCLINE
#258|IFCTRIMMEDCURVE
#261|IFCEDGECURVE
#262|IFCCARTESIANPOINT
#264|IFCVERTEXPOINT
#265|IFCVECTOR
#266|IFCLINE
#267|IFCTRIMMEDCURVE
#270|IFCEDGECURVE
#271|IFCCARTESIANPOINT
#273|IFCVERTEXPOINT
#274|IFCDIRECTION
#276|IFCVECTOR
#277|IFCLINE
#278|IFCTRIMMEDCURVE
#281|IFCEDGECURVE
#282|IFCVECTOR
#283|IFCLINE
#284|IFCTRIMMEDCURVE
#287|IFCEDGECURVE
#288|IFCCARTESIANPOINT
#290|IFCVERTEXPOINT
#291|IFCDIRECTION
#293|IFCVECTOR
#294|IFCLINE
#295|IFCTRIMMEDCURVE
#298|IFCEDGECURVE
#299|IFCCARTESIANPOINT
#301|IFCVERTEXPOINT
#302|IFCDIRECTION
#304|IFCVECTOR
#305|IFCLINE
#306|IFCTRIMMEDCURVE
#309|IFCEDGECURVE
#310|IFCDIRECTION
#312|IFCVECTOR
#313|IFCLINE
#314|IFCTRIMMEDCURVE
#317|IFCEDGECURVE
#318|IFCCARTESIANPOINT
#320|IFCVERTEXPOINT
#321|IFCVECTOR
#322|IFCLINE
#323|IFCTRIMMEDCURVE
#326|IFCEDGECURVE
#327|IFCCARTESIANPOINT
#329|IFCVERTEXPOINT
#330|IFCDIRECTION
#332|IFCVECTOR
#333|IFCLINE
#334|IFCTRIMMEDCURVE
#337|IFCEDGECURVE
#338|IFCVECTOR
#339|IFCLINE
#340|IFCTRIMMEDCURVE
#343|IFCEDGECURVE
#344|IFCCARTESIANPOINT
#346|IFCVERTEXPOINT
#347|IFCDIRECTION
#349|IFCVECTOR
#350|IFCLINE
#351|IFCTRIMMEDCURVE
#354|IFCEDGECURVE
