IfcId:ID|:LABEL|GlobalId|Name|Description
#127|IFCPROJECT|2kUEdxHjj41O9IG5NcvMub||
#142|IFCBUILDING|2kUEdxHjj41O9IG5NcvMua||
#155|IFCBUILDINGSTOREY|2kUEdxHjj41O9IG5KP6fRE|Level 1|
#159|IFCSITE|2kUEdxHjj41O9IG5NcvMud|Default|
#171|IFCPROPERTYSET|1W8K49JnPC0e0nnCId2mL6|Pset_SiteCommon|
#179|IFCRELDEFINESBYPROPERTIES|27XTv8vlH4khJ4TCpB_WqV||
#184|IFCPROPERTYSET|2qQ4E_Rxf9BwgBrq_HXKBX|Other|
#187|IFCRELDEFINESBYPROPERTIES|1Z3YVyskf2PRB8h1edv7V||
#784|IFCBUILDINGELEMENTPROXYTYPE|1HZhfKlPLB3eIgAhzVrTHi|simple beam family:DB_Beams|
#815|IFCBUILDINGELEMENTPROXY|1HZhfKlPLB3eIgAhzVrTU3|simple beam family:DB_Beams:9730|
#832|IFCPROPERTYSET|0NLO0yC7XBufRA9ot9vFx1|Pset_BuildingElementProxyCommon|
#836|IFCPROPERTYSET|2AGY3fUnXB8lY2l87rq9|Pset_EnvironmentalImpactIndicators|
#838|IFCRELDEFINESBYPROPERTIES|2AFI0nw_D54Bzm0ff_vwhK||
#842|IFCRELDEFINESBYPROPERTIES|1MdBAClfTFMg0eF_c2eFaB||
#865|IFCPROPERTYSET|1HZhfKlPLB3eIgBFPVrTU3|Adaptive Component|
#868|IFCRELDEFINESBYPROPERTIES|1HZhfKlPLB3eIgBVPVrTU3||
#871|IFCPROPERTYSET|1HZhfKlPLB3eIgBAjVrTU3|Constraints|
#874|IFCRELDEFINESBYPROPERTIES|1HZhfKlPLB3eIgBQjVrTU3||
#877|IFCPROPERTYSET|1HZhfKlPLB3eIgBBrVrTU3|Dimensions|
#881|IFCRELDEFINESBYPROPERTIES|1HZhfKlPLB3eIgBRrVrTU3||
#884|IFCPROPERTYSET|3aTty13hT49RJJh6U2YMvB|Other|
#891|IFCRELDEFINESBYPROPERTIES|2m9LOeej0b8Ko7dTk22Pn||
#894|IFCPROPERTYSET|1HZhfKlPLB3eIgBB1VrTU3|Phasing|
#897|IFCRELDEFINESBYPROPERTIES|1HZhfKlPLB3eIgBR1VrTU3||
#900|IFCPROPERTYSET|1HZhfKlPLB3eIgBAjVrTHi|Constraints|
#903|IFCPROPERTYSET|1HZhfKlPLB3eIgBBvVrTHi|Identity Data|
#911|IFCPROPERTYSET|0uxh3qtaz4vu_HhSx3CnxP|Other|
#914|IFCPROPERTYSET|1HZhfKlPLB3eIgBEXVrTHi|Visibility|
#918|IFCPROPERTYSET|2kieKvgwz5cR8iNS8GSMg3|Pset_BuildingElementProxyCommon|
#1182|IFCRELDEFINESBYPROPERTIES|0Vs6VnqdX6PPw_XQYZM||
#941|IFCBUILDINGELEMENTPROXYTYPE|1W8K49JnPC0e0nppwd2nec|Sensor_simple:Strain|
#958|IFCBUILDINGELEMENTPROXY|3eV4xuLiDBkQVuHwsIQ1x|Sensor_simple:Strain:10242|
#962|IFCPROPERTYSET|2pPnbS7rf1bAYCga_SqGEH|Pset_BuildingElementProxyCommon|
#965|IFCPROPERTYSET|1FxPfZCCH2Dgy7l7VDTvIs|Pset_EnvironmentalImpactIndicators|
#967|IFCRELDEFINESBYPROPERTIES|2wCVJHEVD77e91RiFoH3GN||
#971|IFCRELDEFINESBYPROPERTIES|0_KpIOUoT7pPauMLk4tidl||
#986|IFCPROPERTYSET|3eV4xuLiDBkQVuGRcIQ1x|Constraints|
#991|IFCRELDEFINESBYPROPERTIES|3eV4xuLiDBkQVuGBcIQ1x||
#994|IFCPROPERTYSET|3eV4xuLiDBkQVuGQ_IQ1x|Dimensions|
#998|IFCRELDEFINESBYPROPERTIES|3eV4xuLiDBkQVuGA_IQ1x||
#1001|IFCPROPERTYSET|3eV4xuLiDBkQVuGQoIQ1x|Identity Data|
#1004|IFCRELDEFINESBYPROPERTIES|3eV4xuLiDBkQVuGAoIQ1x||
#1007|IFCPROPERTYSET|3xbKLiXcH1ARo6FgGQZOp4|Other|
#1013|IFCRELDEFINESBYPROPERTIES|2IOQmNLCb8T8kzOciQq1O1||
#1016|IFCPROPERTYSET|3eV4xuLiDBkQVuGQAIQ1x|Phasing|
#1018|IFCRELDEFINESBYPROPERTIES|3eV4xuLiDBkQVuGAAIQ1x||
#1021|IFCPROPERTYSET|1W8K49JnPC0e0noIgd2nec|Constraints|
#1023|IFCPROPERTYSET|1W8K49JnPC0e0noJ_d2nec|Identity Data|
#1026|IFCPROPERTYSET|11culT85z8GuTAziTyBIzo|Other|
#1029|IFCPROPERTYSET|011QDEpcv35ejYX4DZyv0|Pset_BuildingElementProxyCommon|
#1039|IFCPROPERTYSET|1W8K49JnPC0e0nnDAd2mHx|Pset_BuildingStoreyCommon|
#1043|IFCRELDEFINESBYPROPERTIES|0oZZvhqb1C9vI0xnZNruLa||
#1065|IFCPROPERTYSET|1W8K49JnPC0e0noIgd2mHx|Constraints|
#1068|IFCRELDEFINESBYPROPERTIES|1W8K49JnPC0e0no2gd2mHx||
#1071|IFCPROPERTYSET|1W8K49JnPC0e0noJod2mHx|Dimensions|
#1074|IFCRELDEFINESBYPROPERTIES|1W8K49JnPC0e0no3od2mHx||
#1077|IFCPROPERTYSET|1W8K49JnPC0e0noJ_d2mHx|Identity Data|
#1082|IFCRELDEFINESBYPROPERTIES|1W8K49JnPC0e0no3_d2mHx||
#1085|IFCPROPERTYSET|2o0GJD54PAhe8MOACYNwEY|Other|
#1092|IFCRELDEFINESBYPROPERTIES|138bRhrif2sAGfyLf9avs1||
#1095|IFCPROPERTYSET|1W8K49JnPC0e0noIgd2mHr|Constraints(Type)|
#1098|IFCPROPERTYSET|1W8K49JnPC0e0noJkd2mHr|Graphics(Type)|
#1105|IFCPROPERTYSET|1W8K49JnPC0e0noJ_d2mHr|Identity Data(Type)|
#1108|IFCPROPERTYSET|1who0ApOjCAfBC9j0Wkm7y|Other(Type)|
#1111|IFCRELCONTAINEDINSPATIALSTRUCTURE|1W8K49JnPC0e0npp_d2mHx||
#1116|IFCRELAGGREGATES|2u8u67lO97QhwjwVd5WoxQ||
#1120|IFCRELAGGREGATES|1Cj4b3pjTF1hiVQ8Ew3T11||
#1124|IFCRELAGGREGATES|1W8K49JnPC0e0nppsd2mL6||
#1130|IFCPROPERTYSET|1W8K49JnPC0e0nnDMd2mL6|Pset_BuildingCommon|
#1134|IFCPROPERTYSET|2Mb0nc21fCahzuROuMhVc_|Pset_BuildingElementProxyCommon|
#1136|IFCPROPERTYSET|1W8K49JnPC0e0nnDAd2mL6|Pset_BuildingStoreyCommon|
#1138|IFCPROPERTYSET|3d8mOncBbEwuOQeFk8LO4|Pset_BuildingSystemCommon|
#1140|IFCRELDEFINESBYPROPERTIES|0g6Lv6ey5COAGIhyQFK_hl||
#1144|IFCRELDEFINESBYPROPERTIES|3sH2ZACG14UuJGXGo6Ej7||
#1147|IFCRELDEFINESBYPROPERTIES|1Nw8KZzjjFa9zZJ_EobfNf||
#1150|IFCRELDEFINESBYPROPERTIES|3X7mUwFhL8KB2LGx_PhOW4||
#1153|IFCPROPERTYSET|2m81iAOoD30hfJMLnLJhLQ|Other|
#1155|IFCRELDEFINESBYPROPERTIES|21xcPHatH4leKpSRwvANzz||
#1158|IFCRELASSOCIATESMATERIAL|1kBILaYCbC3hmEzzIIha8S||
#1165|IFCRELDEFINESBYTYPE|0AUMYrBzEygATtDtae3xq||
#1169|IFCRELDEFINESBYTYPE|3SBB1eQj73xEJhvEtPYeG||
#1173|IFCRELDEFINESBYPROPERTIES|0njzIujRr7TxipEFkB0Ycu||
#1176|IFCRELDEFINESBYPROPERTIES|0kgQDGmwz5yeqV85VSKUVh||
#1179|IFCRELDEFINESBYPROPERTIES|1yrSwkOlDFMPk18KUItKEO||
